xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1081543,-0.078125,-0.4501953,0.03121376,-0.1081069,-0.0310533,-9.814408,13.07213,1.121372,-9.577579,13.31687,-0.7561035,-0.2548828,0.7241211,-0.07030535,-0.2257175,-0.03074045,-13.4302,44.43399,5.43642,-13.683,44.56511,Unknown
-0.1081543,-0.0793457,-0.4533691,-0.2283282,-0.4287176,-0.1989923,-9.814477,13.06928,1.118586,-9.661212,13.22375,-0.7507324,-0.2553711,0.7287598,-0.2687786,-0.1493817,-0.04600763,-13.43961,44.4271,5.435776,-13.71638,44.19211,Unknown
-0.1091309,-0.07885742,-0.4431152,-0.01458788,-0.123374,0.091084,-9.814463,13.0788,1.119861,-9.803788,13.62954,-0.7529297,-0.2492676,0.7265625,-0.2382443,-0.3020534,0.183,-13.44209,44.42296,5.438338,-13.39989,44.42736,Unknown
-0.1030273,-0.08203125,-0.4401855,0.06174803,-0.4287176,-0.01578617,-9.823017,13.0705,1.11964,-10.28455,12.95783,-0.760498,-0.2429199,0.7331543,-0.009236574,-0.1646488,-0.04600763,-13.43239,44.42339,5.437694,-12.95069,44.55698,Unknown
-0.1079102,-0.08227539,-0.4431152,0.4128931,0.1361679,-0.09212208,-9.825418,13.08026,1.118351,-10.22632,13.46506,-0.7529297,-0.251709,0.7270508,0.3266413,-0.01197708,-0.06127481,-13.4297,44.42237,5.436836,-13.5221,44.38052,Unknown
-0.1032715,-0.09301758,-0.4638672,0.2907557,-0.1081069,-0.09212208,-9.846131,13.06334,1.116969,-11.07473,12.31372,-0.7626953,-0.2478027,0.7229004,0.4945802,0.1864962,-0.07654199,-13.41921,44.43554,5.435688,-13.2686,44.94379,Unknown
-0.111084,-0.0793457,-0.4545898,0.07701516,0.07509923,0.1063511,-9.840616,13.07379,1.118458,-9.623244,13.53482,-0.7543945,-0.2512207,0.7224121,0.5709161,0.01855725,0.1219313,-13.41347,44.4392,5.437395,-13.52372,44.6058,Unknown
-0.1098633,-0.08496094,-0.4575195,-0.197794,-0.382916,0.2437558,-9.851225,13.07274,1.12187,-10.23539,13.28382,-0.7583008,-0.2495117,0.7219238,0.3724428,0.06435877,-0.0002061129,-13.40817,44.44714,5.437392,-13.40429,44.79202,Unknown
-0.1083984,-0.08300781,-0.449707,-0.2588627,-0.2607787,0.03001523,-9.861213,13.07441,1.122291,-10.17304,13.33517,-0.7568359,-0.2570801,0.7260742,-0.1008396,-0.2409847,0.1219313,-13.41685,44.44483,5.439099,-13.77268,44.49699,Unknown
-0.1054688,-0.08129883,-0.4470215,-0.02985501,-0.291313,-0.0005190372,-9.865125,13.07058,1.122284,-10.03783,13.06856,-0.7507324,-0.2512207,0.7312012,-0.2535114,-0.2257175,-3.725397,-13.42135,44.4362,5.390669,-13.48055,44.15704,Unknown
-0.105957,-0.08935547,-0.4438477,0.2144198,-0.1386412,0.1979542,-9.886466,13.07071,1.125055,-11.07934,13.17178,-0.7512207,-0.2502441,0.7270508,-0.1161069,-0.1493817,0.01506107,-13.42375,44.43209,5.39088,-13.46151,44.33324,Unknown
